,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths
309,08/12/2020,02/01/2020,08/08/2020,Georgia,Male,All ages,1733
310,08/12/2020,02/01/2020,08/08/2020,Georgia,Female,Under 1 year,0
311,08/12/2020,02/01/2020,08/08/2020,Georgia,Female,1-4 years,0
312,08/12/2020,02/01/2020,08/08/2020,Georgia,Female,5-14 years,0
313,08/12/2020,02/01/2020,08/08/2020,Georgia,Female,15-24 years,1048.084359
314,08/12/2020,02/01/2020,08/08/2020,Georgia,Female,25-34 years,13
315,08/12/2020,02/01/2020,08/08/2020,Georgia,Female,35-44 years,33
316,08/12/2020,02/01/2020,08/08/2020,Georgia,Female,45-54 years,72
317,08/12/2020,02/01/2020,08/08/2020,Georgia,Female,55-64 years,177
318,08/12/2020,02/01/2020,08/08/2020,Georgia,Female,65-74 years,313
319,08/12/2020,02/01/2020,08/08/2020,Georgia,Female,75-84 years,419
320,08/12/2020,02/01/2020,08/08/2020,Georgia,Female,85 years and over,522
321,08/12/2020,02/01/2020,08/08/2020,Georgia,Female,All ages,1553
322,08/12/2020,02/01/2020,08/08/2020,Georgia,Unknown,All ages,0
323,08/12/2020,02/01/2020,08/08/2020,Georgia Total,All,All ages,3286
324,08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,Under 1 year,0
325,08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,1-4 years,0
326,08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,5-14 years,0
327,08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,15-24 years,0
328,08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,25-34 years,0
329,08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,35-44 years,0
330,08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,45-54 years,1048.084359
331,08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,55-64 years,1048.084359
332,08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,65-74 years,1048.084359
333,08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,75-84 years,1048.084359
334,08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,85 years and over,1048.084359
335,08/12/2020,02/01/2020,08/08/2020,Hawaii,Male,All ages,13
336,08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,Under 1 year,0
337,08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,1-4 years,0
338,08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,5-14 years,0
339,08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,15-24 years,0
340,08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,25-34 years,1048.084359
341,08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,35-44 years,0
342,08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,45-54 years,1048.084359
343,08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,55-64 years,0
344,08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,65-74 years,0
345,08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,75-84 years,1048.084359
346,08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,85 years and over,1048.084359
347,08/12/2020,02/01/2020,08/08/2020,Hawaii,Female,All ages,10
348,08/12/2020,02/01/2020,08/08/2020,Hawaii,Unknown,All ages,0
