,State,Sex,Age group,COVID-19 Deaths,Age
490,Michigan,Male,45-54 years,208.0,50
491,Michigan,Male,55-64 years,436.0,60
492,Michigan,Male,65-74 years,811.0,70
493,Michigan,Male,75-84 years,840.0,80
494,Michigan,Male,85 years and over,655.0,90
495,Michigan,Female,Under 1 year,0.0,0.5
496,Michigan,Female,1-4 years,0.0,2.5
497,Michigan,Female,5-14 years,,10
498,Michigan,Female,15-24 years,,20
499,Michigan,Female,25-34 years,13.0,30
500,Michigan,Female,35-44 years,34.0,40
501,Michigan,Female,45-54 years,119.0,50
502,Michigan,Female,55-64 years,279.0,60
503,Michigan,Female,65-74 years,578.0,70
504,Michigan,Female,75-84 years,692.0,80
505,Michigan,Female,85 years and over,1064.0,90
506,Minnesota,Male,Under 1 year,0.0,0.5
507,Minnesota,Male,1-4 years,0.0,2.5
508,Minnesota,Male,5-14 years,0.0,10
509,Minnesota,Male,15-24 years,,20
510,Minnesota,Male,25-34 years,,30
511,Minnesota,Male,35-44 years,,40
512,Minnesota,Male,45-54 years,27.0,50
513,Minnesota,Male,55-64 years,83.0,60
514,Minnesota,Male,65-74 years,149.0,70
515,Minnesota,Male,75-84 years,233.0,80
516,Minnesota,Male,85 years and over,275.0,90
517,Minnesota,Female,Under 1 year,,0.5
518,Minnesota,Female,1-4 years,0.0,2.5
519,Minnesota,Female,5-14 years,0.0,10
520,Minnesota,Female,15-24 years,0.0,20
521,Minnesota,Female,25-34 years,,30
522,Minnesota,Female,35-44 years,,40
523,Minnesota,Female,45-54 years,15.0,50
524,Minnesota,Female,55-64 years,42.0,60
525,Minnesota,Female,65-74 years,117.0,70
526,Minnesota,Female,75-84 years,202.0,80
527,Minnesota,Female,85 years and over,447.0,90
528,Mississippi,Male,Under 1 year,0.0,0.5
529,Mississippi,Male,1-4 years,0.0,2.5
530,Mississippi,Male,5-14 years,0.0,10
531,Mississippi,Male,15-24 years,,20
532,Mississippi,Male,25-34 years,,30
533,Mississippi,Male,35-44 years,24.0,40
534,Mississippi,Male,45-54 years,60.0,50
535,Mississippi,Male,55-64 years,130.0,60
536,Mississippi,Male,65-74 years,217.0,70
537,Mississippi,Male,75-84 years,220.0,80
538,Mississippi,Male,85 years and over,139.0,90
539,Mississippi,Female,Under 1 year,0.0,0.5
540,Mississippi,Female,1-4 years,0.0,2.5
541,Mississippi,Female,5-14 years,0.0,10
542,Mississippi,Female,15-24 years,,20
543,Mississippi,Female,25-34 years,,30
544,Mississippi,Female,35-44 years,21.0,40
545,Mississippi,Female,45-54 years,58.0,50
546,Mississippi,Female,55-64 years,129.0,60
547,Mississippi,Female,65-74 years,163.0,70
548,Mississippi,Female,75-84 years,206.0,80
549,Mississippi,Female,85 years and over,259.0,90
550,Missouri,Male,Under 1 year,0.0,0.5
551,Missouri,Male,1-4 years,0.0,2.5
552,Missouri,Male,5-14 years,0.0,10
553,Missouri,Male,15-24 years,0.0,20
554,Missouri,Male,25-34 years,,30
555,Missouri,Male,35-44 years,,40
556,Missouri,Male,45-54 years,28.0,50
557,Missouri,Male,55-64 years,78.0,60
558,Missouri,Male,65-74 years,145.0,70
559,Missouri,Male,75-84 years,174.0,80
560,Missouri,Male,85 years and over,163.0,90
561,Missouri,Female,Under 1 year,0.0,0.5
562,Missouri,Female,1-4 years,0.0,2.5
563,Missouri,Female,5-14 years,0.0,10
564,Missouri,Female,15-24 years,,20
565,Missouri,Female,25-34 years,,30
566,Missouri,Female,35-44 years,,40
567,Missouri,Female,45-54 years,16.0,50
568,Missouri,Female,55-64 years,45.0,60
569,Missouri,Female,65-74 years,102.0,70
570,Missouri,Female,75-84 years,148.0,80
571,Missouri,Female,85 years and over,297.0,90
572,Montana,Male,Under 1 year,0.0,0.5
573,Montana,Male,1-4 years,0.0,2.5
574,Montana,Male,5-14 years,0.0,10
575,Montana,Male,15-24 years,0.0,20
576,Montana,Male,25-34 years,0.0,30
577,Montana,Male,35-44 years,0.0,40
578,Montana,Male,45-54 years,,50
579,Montana,Male,55-64 years,,60
580,Montana,Male,65-74 years,,70
581,Montana,Male,75-84 years,10.0,80
582,Montana,Male,85 years and over,,90
583,Montana,Female,Under 1 year,0.0,0.5
584,Montana,Female,1-4 years,0.0,2.5
585,Montana,Female,5-14 years,0.0,10
586,Montana,Female,15-24 years,0.0,20
587,Montana,Female,25-34 years,,30
588,Montana,Female,35-44 years,0.0,40
589,Montana,Female,45-54 years,0.0,50
590,Montana,Female,55-64 years,,60
591,Montana,Female,65-74 years,,70
592,Montana,Female,75-84 years,,80
593,Montana,Female,85 years and over,13.0,90
594,Nebraska,Male,Under 1 year,0.0,0.5
595,Nebraska,Male,1-4 years,0.0,2.5
596,Nebraska,Male,5-14 years,0.0,10
597,Nebraska,Male,15-24 years,0.0,20
598,Nebraska,Male,25-34 years,,30
599,Nebraska,Male,35-44 years,,40
600,Nebraska,Male,45-54 years,14.0,50
601,Nebraska,Male,55-64 years,28.0,60
602,Nebraska,Male,65-74 years,46.0,70
603,Nebraska,Male,75-84 years,43.0,80
604,Nebraska,Male,85 years and over,34.0,90
605,Nebraska,Female,Under 1 year,0.0,0.5
606,Nebraska,Female,1-4 years,0.0,2.5
607,Nebraska,Female,5-14 years,0.0,10
608,Nebraska,Female,15-24 years,0.0,20
609,Nebraska,Female,25-34 years,,30
610,Nebraska,Female,35-44 years,,40
611,Nebraska,Female,45-54 years,,50
612,Nebraska,Female,55-64 years,21.0,60
613,Nebraska,Female,65-74 years,26.0,70
614,Nebraska,Female,75-84 years,39.0,80
615,Nebraska,Female,85 years and over,54.0,90
616,Nevada,Male,Under 1 year,0.0,0.5
617,Nevada,Male,1-4 years,0.0,2.5
618,Nevada,Male,5-14 years,,10
619,Nevada,Male,15-24 years,,20
620,Nevada,Male,25-34 years,,30
621,Nevada,Male,35-44 years,14.0,40
622,Nevada,Male,45-54 years,56.0,50
623,Nevada,Male,55-64 years,64.0,60
624,Nevada,Male,65-74 years,133.0,70
625,Nevada,Male,75-84 years,151.0,80
626,Nevada,Male,85 years and over,81.0,90
627,Nevada,Female,Under 1 year,0.0,0.5
628,Nevada,Female,1-4 years,0.0,2.5
629,Nevada,Female,5-14 years,0.0,10
