,index,Confirmed,Deaths,clusters
1179,1179,1225,39,1
1180,1180,421,7,1
1181,1181,8875,126,1
1182,1182,3599,119,1
1183,1183,1199,47,1
1184,1184,3730,74,1
1185,1185,866,8,1
1186,1186,770,22,1
1187,1187,1103,25,1
1188,1188,12436,587,1
1189,1189,6122,141,1
1190,1190,0,0,1
1191,1191,666,19,1
1192,1192,1053,40,1
1193,1193,4140,148,1
1194,1194,351,21,1
1195,1195,749,10,1
1196,1196,840,13,1
1197,1197,1383,29,1
1198,1198,1777,59,1
1199,1199,410,4,1
1200,1200,808,40,1
1201,1201,1576,98,1
1202,1202,3272,124,1
1203,1203,2081,60,1
1204,1204,1901,77,1
1205,1205,6858,251,1
1206,1206,4416,117,1
1207,1207,159,2,1
1208,1208,3603,112,1
1209,1209,193,182,1
1210,1210,959,42,1
1211,1211,2028,60,1
1212,1212,1042,46,1
1213,1213,1608,65,1
1214,1214,1217,22,1
1215,1215,900,41,1
1216,1216,343,10,1
1217,1217,711,25,1
1218,1218,616,18,1
1219,1219,693,10,1
1220,1220,43,1,1
1221,1221,2290,70,1
1222,1222,60,1,1
1223,1223,53,1,1
1224,1224,207,11,1
1225,1225,36,1,1
1226,1226,41,1,1
1227,1227,0,0,1
1228,1228,132,1,1
1229,1229,252,6,1
1230,1230,9,0,1
1231,1231,65,0,1
1232,1232,85,8,1
1233,1233,0,0,1
1234,1234,73,14,1
1235,1235,16,0,1
1236,1236,1115,15,1
1237,1237,454,22,1
1238,1238,9759,245,1
1239,1239,17579,621,0
1240,1240,15329,483,0
1241,1241,920,28,1
1242,1242,638,5,1
1243,1243,1920,125,1
1244,1244,1025,33,1
1245,1245,2725,99,1
1246,1246,578,10,1
1247,1247,3958,131,1
1248,1248,72,1,1
1249,1249,2945,76,1
1250,1250,4983,123,1
1251,1251,298,24,1
1252,1252,22002,841,0
1253,1253,0,0,1
1254,1254,28784,821,0
1255,1255,645,26,1
1256,1256,251,4,1
1257,1257,1259,57,1
1258,1258,543,6,1
1259,1259,0,10,1
1260,1260,1691,37,1
1261,1261,1919,48,1
1262,1262,1020,26,1
1263,1263,1722,174,1
1264,1264,706,49,1
1265,1265,9858,690,1
1266,1266,0,0,1
1267,1267,151,1,1
1268,1268,19305,1273,0
1269,1269,404,67,1
1270,1270,8075,773,1
1271,1271,1208,142,1
1272,1272,26943,2133,0
1273,1273,0,0,1
1274,1274,10107,1050,1
1275,1275,0,0,1
1276,1276,9567,764,1
1277,1277,23891,1131,0
1278,1278,2416,5,1
1279,1279,14159,1095,1
1280,1280,41,2,1
