,State,Deaths
1114,Kentucky,2
1115,Kentucky,2
1116,Kentucky,4
1117,Kentucky,3
1118,Kentucky,0
1119,Kentucky,12
1120,Kentucky,4
1121,Kentucky,1
1122,Kentucky,9
1123,Kentucky,25
1124,Kentucky,0
1125,Kentucky,2
1126,Kentucky,1
1127,Kentucky,0
1128,Kentucky,8
1129,Kentucky,3
1130,Kentucky,0
1131,Kentucky,10
1132,Kentucky,0
1133,Kentucky,1
1134,Kentucky,1
1135,Kentucky,6
1136,Kentucky,10
1137,Kentucky,24
1138,Kentucky,8
1139,Kentucky,0
1140,Kentucky,7
1141,Kentucky,8
1142,Kentucky,0
1143,Kentucky,0
1144,Kentucky,0
1145,Kentucky,2
1146,Kentucky,41
1147,Kentucky,1
1148,Kentucky,0
1149,Kentucky,3
1150,Kentucky,2
1151,Kentucky,0
1152,Kentucky,0
1153,Louisiana,96
1154,Louisiana,46
1155,Louisiana,97
1156,Louisiana,24
1157,Louisiana,53
1158,Louisiana,37
1159,Louisiana,32
1160,Louisiana,106
1161,Louisiana,349
1162,Louisiana,210
1163,Louisiana,3
1164,Louisiana,2
1165,Louisiana,10
1166,Louisiana,21
1167,Louisiana,13
1168,Louisiana,35
1169,Louisiana,439
1170,Louisiana,4
1171,Louisiana,66
1172,Louisiana,32
1173,Louisiana,38
1174,Louisiana,30
1175,Louisiana,89
1176,Louisiana,58
1177,Louisiana,22
1178,Louisiana,565
1179,Louisiana,39
1180,Louisiana,7
1181,Louisiana,126
1182,Louisiana,119
1183,Louisiana,47
1184,Louisiana,74
1185,Louisiana,8
1186,Louisiana,22
1187,Louisiana,25
1188,Louisiana,587
1189,Louisiana,141
1190,Louisiana,0
1191,Louisiana,19
1192,Louisiana,40
1193,Louisiana,148
1194,Louisiana,21
1195,Louisiana,10
1196,Louisiana,13
1197,Louisiana,29
1198,Louisiana,59
1199,Louisiana,4
1200,Louisiana,40
1201,Louisiana,98
1202,Louisiana,124
1203,Louisiana,60
1204,Louisiana,77
1205,Louisiana,251
1206,Louisiana,117
1207,Louisiana,2
1208,Louisiana,112
1209,Louisiana,182
1210,Louisiana,42
1211,Louisiana,60
1212,Louisiana,46
1213,Louisiana,65
1214,Louisiana,22
1215,Louisiana,41
1216,Louisiana,10
1217,Louisiana,25
1218,Louisiana,18
1219,Maine,10
1220,Maine,1
1221,Maine,70
1222,Maine,1
1223,Maine,1
1224,Maine,11
1225,Maine,1
1226,Maine,1
1227,Maine,0
1228,Maine,1
1229,Maine,6
1230,Maine,0
1231,Maine,0
1232,Maine,8
1233,Maine,0
1234,Maine,14
1235,Maine,0
1236,Maine,15
1237,Maryland,22
1238,Maryland,245
1239,Maryland,621
1240,Maryland,483
1241,Maryland,28
1242,Maryland,5
1243,Maryland,125
1244,Maryland,33
1245,Maryland,99
1246,Maryland,10
1247,Maryland,131
1248,Maryland,1
1249,Maryland,76
1250,Maryland,123
1251,Maryland,24
1252,Maryland,841
1253,Maryland,0
1254,Maryland,821
1255,Maryland,26
1256,Maryland,4
1257,Maryland,57
1258,Maryland,6
1259,Maryland,10
1260,Maryland,37
1261,Maryland,48
1262,Maryland,26
1263,Massachusetts,174
1264,Massachusetts,49
1265,Massachusetts,690
1266,Massachusetts,0
1267,Massachusetts,1
1268,Massachusetts,1273
1269,Massachusetts,67
1270,Massachusetts,773
1271,Massachusetts,142
1272,Massachusetts,2133
1273,Massachusetts,0
1274,Massachusetts,1050
1275,Massachusetts,0
1276,Massachusetts,764
1277,Massachusetts,1131
1278,Massachusetts,5
1279,Massachusetts,1095
1280,Michigan,2
1281,Michigan,0
1282,Michigan,7
1283,Michigan,14
1284,Michigan,0
1285,Michigan,3
1286,Michigan,0
1287,Michigan,3
1288,Michigan,48
1289,Michigan,2
1290,Michigan,74
1291,Michigan,5
1292,Michigan,45
1293,Michigan,16
1294,Michigan,3
1295,Michigan,2
1296,Michigan,0
1297,Michigan,4
1298,Michigan,13
1299,Michigan,5
1300,Michigan,7
1301,Michigan,2
1302,Michigan,10
1303,Michigan,4
1304,Michigan,5
1305,Michigan,308
1306,Michigan,2
1307,Michigan,1
1308,Michigan,7
1309,Michigan,15
1310,Michigan,27
1311,Michigan,2
1312,Michigan,5
1313,Michigan,47
1314,Michigan,7
1315,Michigan,12
1316,Michigan,1
1317,Michigan,13
1318,Michigan,44
1319,Michigan,92
1320,Michigan,4
1321,Michigan,174
1322,Michigan,0
1323,Michigan,0
1324,Michigan,36
1325,Michigan,1
1326,Michigan,17
1327,Michigan,30
1328,Michigan,0
1329,Michigan,0
1330,Michigan,1015
1331,Michigan,2
1332,Michigan,12
1333,Michigan,0
1334,Michigan,3
